[0929/144950.782:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Unrecognized feature: 'ambient-light-sensor'.", source:  (0)
[0929/144950.902:INFO:CONSOLE(7)] "Another connection wants to delete database 'wawc'. Closing db now to resume the delete request.", source: https://web.whatsapp.com/vendor1~app.7f14216f970118f62a35.js (7)
[0929/144951.785:INFO:CONSOLE(0)] "Uncaught Error: Data passed to getter must include an id property (it's how we memoize) but got undefined https://web.whatsapp.com/app.3ab9137479b24b9d8cf5.js 52 518577 Error: Data passed to getter must include an id property (it's how we memoize) but got undefined", source:  (0)
[0929/144951.785:INFO:CONSOLE(52)] "Uncaught Error: Data passed to getter must include an id property (it's how we memoize) but got undefined", source: https://web.whatsapp.com/app.3ab9137479b24b9d8cf5.js (52)
[0929/144951.790:INFO:CONSOLE(0)] "Uncaught TypeError: Cannot read properties of undefined (reading 'fromMe') C:\Users\Miguel\Documents\rotinazap\teste1\node_modules\@wppconnect\wa-js\dist\wppconnect-wa.js 2 130157 TypeError: Cannot read properties of undefined (reading 'fromMe')", source:  (0)
[0929/144951.790:INFO:CONSOLE(2)] "Uncaught TypeError: Cannot read properties of undefined (reading 'fromMe')", source: C:\Users\Miguel\Documents\rotinazap\teste1\node_modules\@wppconnect\wa-js\dist\wppconnect-wa.js (2)
[0929/144952.359:INFO:CONSOLE(2)] "func is not an exported function", source: C:\Users\Miguel\Documents\rotinazap\teste1\node_modules\@wppconnect\wa-js\dist\wppconnect-wa.js (2)
[0929/144952.474:INFO:CONSOLE(1)] "Store Object 'Perfil' was not found", source: C:\Users\Miguel\Documents\rotinazap\teste1\node_modules\@wppconnect-team\wppconnect\dist\lib\wapi\wapi.js (1)
[0929/144952.500:INFO:CONSOLE(0)] "[object PromiseRejectionEvent]", source:  (0)
[0929/144952.500:INFO:CONSOLE(1)] "Uncaught (in promise) TypeError: Cannot read properties of null (reading '__esModule')", source: C:\Users\Miguel\Documents\rotinazap\teste1\node_modules\@wppconnect-team\wppconnect\dist\lib\wapi\wapi.js (1)
[0929/144953.355:INFO:CONSOLE(2)] "func is not an exported function", source: C:\Users\Miguel\Documents\rotinazap\teste1\node_modules\@wppconnect\wa-js\dist\wppconnect-wa.js (2)
[0929/144953.356:INFO:CONSOLE(2)] "func is not an exported function", source: C:\Users\Miguel\Documents\rotinazap\teste1\node_modules\@wppconnect\wa-js\dist\wppconnect-wa.js (2)
